,animal_id,group_no,inoculum,inoculation_batch,dpi,sample_mass_mg,date_nuc_prep,incubation_time_hrs,NeuN+_EstTotalCount,PU1+_EstTotalCount,SOX10+_EstTotalCount,SOX2+_EstTotalCount,PU1+_EstTotalCount_per_mg,NeuN+_EstTotalCount_per_mg,SOX10+_EstTotalCount_per_mg,SOX2+_EstTotalCount_per_mg
62,916524,20,CBH,BATCH2,120,219,2025-08-12,18.7,4185660,150659,1005121,231919,687.9406392694063,19112.602739726026,4589.593607305936,1058.9908675799086
63,916543,1,RML,BATCH2,60,203,2025-08-12,19.0,4085539,195702,1108861,273467,964.0492610837439,20125.8078817734,5462.369458128079,1347.128078817734
64,918283,17,RML,BATCH4,120,240,2025-08-13,16.73,5653525,357527,1416380,227309,1489.6958333333334,23556.354166666668,5901.583333333333,947.1208333333333
65,918282,4,CBH,BATCH4,60,212,2025-08-13,17.25,5433749,285441,605028,250345,1346.4198113207547,25630.89150943396,2853.9056603773583,1180.872641509434
66,917422,1,RML,BATCH3,60,252,2025-08-19,19.02,4851478,172468,804707,229649,684.3968253968254,19251.896825396827,3193.281746031746,911.3055555555555
67,918318,4,CBH,BATCH4,60,221,2025-08-19,19.48,4554922,171820,453511,152305,777.4660633484162,20610.506787330316,2052.085972850679,689.1628959276018
68,917440,4,CBH,BATCH3,60,254,2025-08-20,18.8,5347233,211766,758600,261952,833.7244094488188,21052.09842519685,2986.6141732283463,1031.3070866141732
69,916468,19,22L,BATCH1,120,243,2025-08-20,19.43,5392978,306715,849748,171849,1262.201646090535,22193.32510288066,3496.9053497942386,707.1975308641976
70,917445,3,22L,BATCH3,60,294,2025-08-21,22.62,6112909,253611,1250343,358748,862.6224489795918,20792.2074829932,4252.867346938776,1220.2312925170068
71,918278,17,RML,BATCH4,120,215,2025-08-21,18.08,5392996,300484,1154194,174691,1397.6,25083.702325581395,5368.344186046512,812.5162790697674
